vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,year_stolen,month_stolen,month_name,day_of_week,make_name,make_type,region,country,population,density,vehicle_age,quarter,age_group,is_luxury,is_twowheeler,theft_per_100k,day_order,month_order,quarter_order,age_group_order
1156,Utility,619,2003,HILUX,Silver,2021-12-21,102,2021,12,Dec,Tuesday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,18,Q4,11-20 years,0,0,96.15,2,3,4,3
1157,Hatchback,576,1998,DEMIO,Silver,2022-03-22,102,2022,3,Mar,Tuesday,Mazda,Standard,Auckland,New Zealand,1695200.0,343.09,24,Q1,20+ years,0,0,96.15,2,6,1,4
1158,Hatchback,580,2003,COLT,Silver,2022-02-12,102,2022,2,Feb,Saturday,Mitsubishi,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,6,5,1,3
1159,Stationwagon,619,1996,HILUX,Blue,2022-03-19,114,2022,3,Mar,Saturday,Toyota,Standard,Canterbury,New Zealand,655000.0,14.72,26,Q1,20+ years,0,0,100.76,6,6,1,4
1160,Hatchback,550,2003,JAZZ,Blue,2022-02-27,102,2022,2,Feb,Sunday,Honda,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,7,5,1,3
1161,Saloon,619,2003,COROLLA,Blue,2021-11-27,114,2021,11,Nov,Saturday,Toyota,Standard,Canterbury,New Zealand,655000.0,14.72,18,Q4,11-20 years,0,0,100.76,6,2,4,3
1162,Saloon,580,2000,LANCER,White,2022-03-07,106,2022,3,Mar,Monday,Mitsubishi,Standard,Hawke's Bay,New Zealand,182700.0,12.92,22,Q1,20+ years,0,0,54.73,1,6,1,4
1163,Hatchback,633,2003,GOLF,Black,2022-03-20,104,2022,3,Mar,Sunday,Volkswagen,Standard,Bay of Plenty,New Zealand,347700.0,28.8,19,Q1,11-20 years,0,0,127.98,7,6,1,3
1164,Other Truck,619,1997,TOYOACE,White,2022-01-30,104,2022,1,Jan,Sunday,Toyota,Standard,Bay of Plenty,New Zealand,347700.0,28.8,25,Q1,20+ years,0,0,127.98,7,4,1,4
1165,Utility,540,2003,COURIER,Red,2021-12-22,114,2021,12,Dec,Wednesday,Ford,Standard,Canterbury,New Zealand,655000.0,14.72,18,Q4,11-20 years,0,0,100.76,3,3,4,3
1166,Utility,576,2003,BOUNTY,Silver,2022-02-13,102,2022,2,Feb,Sunday,Mazda,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,7,5,1,3
1167,Stationwagon,619,1994,RAV4,Blue,2022-01-21,102,2022,1,Jan,Friday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,28,Q1,20+ years,0,0,96.15,5,4,1,4
